English,Bangla
Also,এছাড়াও
to have,থাকা
Really,সত্যিই
see,দেখা
even,এমনকি
his,তার
Oh,ওহ
NOW,এখন
all,সব
can,করতে পারেন
two,দুই
these,এইগুলো
are,হয়
Go on,যাও
your,তোমার
other,অন্যান্য
little,সামান্য
time,সময়
some,কিছু
do,করা
always,সর্বদা
Again,আবার
OUR,আমাদের
my,আমার
need,প্রয়োজন
had,ছিল
agreement,চুক্তি
must,অবশ্যই
must,অবশ্যই
life,জীবন
maybe,হয়তো
go,যাও
times,বার
seen,দেখা
SO,তাই
without,ছাড়া
world,বিশ্ব
was,ছিল
because,কারণ
Before,আগে
on,উপর
too much,খুব বেশি
someone,কেউ
talk,কথা বলা
person,ব্যক্তি
had,ছিল
father,বাবা
believe,বিশ্বাস করা
After,পরে
to,থেকে
God,দেবতা
Yeah,হ্যাঁ
his,তার
think,ভাবুন
eu,ইইউ
love,ভালোবাসা
their,তাদের
man,মানুষ
come,আসা
TRUE,সত্য
women,নারী
OK,ঠিক আছে
must,অবশ্যই
wanna,চাই
years,বছর
Mr.,জনাব.
wrong,ভুল
at the house of,এর বাড়িতে
Already,ইতিমধ্যেই
Since,থেকে
a lot,অনেক
your,তোমার
Good,ভালো
dead,মৃত
better,ভালো
go,যাও
mother,মা
will be,হবে
say,বলা
girl,মেয়ে
your,তোমার
people,মানুষ
what,কি
see,দেখা
Sorry,দুঃখিত
That,যে
There,সেখানে
have,আছে
little,সামান্য
House,গৃহ
either,হয়
that,যে
others,অন্যান্য
all,সব
evening,সন্ধ্যা
pass,পাস
take,গ্রহণ করা
day,দিন
Sir,স্যার
our,আমাদের
know,জানা
things,জিনিসপত্র
Hi,হাই
this,এই
name,নাম
money,টাকা
Good morning,শুভ সকাল
night,রাত
reason,কারণ
less,কম
arrived,পৌঁছেছে
Mom,মা
stay,থাকা
moment,মুহূর্ত
wanted,চেয়েছিলেন
alone,একা
help,সাহায্য
air,বায়ু
between,মধ্যে
dad,বাবা
pass,পাস
would,হবে
issue,ইস্যু
ah,আহ
fear,ভয়
look at,তাকাও
want,চাই
guys,বলছি
find,খুঁজে বের করা
son,ছেলে
wait,অপেক্ষা করুন
you,তুমি
until,পর্যন্ত
find,খুঁজে বের করা
three,তিন
enough,যথেষ্ট
family,পরিবার
of,এর
eh,আহ
all,সব
please,অনুগ্রহ করে
could,পারে
work,কাজ
taken,নেওয়া
could,পারে
head,মাথা
what,কি
knows,জানে
are,হয়
call,কল
a few,কয়েকটি
do,করা
leave,ছেড়ে দিন
quickly,দ্রুত
stop,থামো
alone,একা
would be,হবে
car,গাড়ি
children,শিশুরা
kill,হত্যা করা
shit,বিষ্ঠা
Hey,হেই
during,সময়
idea,ধারণা
chance,সুযোগ
speak,কথা বলা
would have,হতো
part,অংশ
they,তারা
days,দিনগুলি
big,বড়
Today,আজ
come,আসা
friend,বন্ধু 
tomorrow,আগামীকাল
eh,আহ
late,দেরিতে
Then,তারপর
thing,জিনিস
pass,পাস
small,ছোট
so much,অনেক
know,জানা
How much,কত
dude,বন্ধু
sense,ইন্দ্রিয়
can,করতে পারেন
door,দরজা
to go out,বাইরে যেতে
great,দুর্দান্ত
hour,ঘন্টা
against,বিরুদ্ধে
cut,কাটা
understand,বোঝা
heard,শুনেছি
come,আসা
let's go,চলো যাই
together,একসাথে
new,নতুন
love,ভালোবাসা
